date,kidid,trial,standard,standard_number,standardlabel,order,condition,dimension,response,exclude?,confused?,more than one,term,forcedchoice,confused,confused?- coder2,more than one-coder2,confused? - coder1,age_mo_centered,shape_response
2/26/2025,41,3,present wrapped dog toy,5,the blicket,312,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,0.9939393939393852,1
2/26/2025,41,4,scissors w/bubbles,6,the gorp,123,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,0.9939393939393852,1
2/26/2025,41,5,brown clay heart,7,the blint,231,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,0.9939393939393852,0
2/26/2025,41,6,white circular box,1,the wap,312,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,0.9939393939393852,1
2/26/2025,41,7,the clay plate,2,the zimbo,123,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,0.9939393939393852,1
2/25/2025,43,1,orange box,3,the dax,123,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-14.006060606060617,0
2/25/2025,43,2,"green ""s""",4,the fep,231,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-14.006060606060617,0
2/25/2025,43,3,present wrapped dog toy,5,the blicket,312,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-14.006060606060617,1
2/25/2025,43,4,scissors w/bubbles,6,the gorp,123,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-14.006060606060617,1
2/25/2025,43,5,brown clay heart,7,the blint,231,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-14.006060606060617,0
2/25/2025,43,6,white circular box,1,the wap,312,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-14.006060606060617,1
2/25/2025,43,7,the clay plate,2,the zimbo,123,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-14.006060606060617,0
2/25/2025,44,1,"green ""s""",4,the dax,123,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-15.006060606060617,0
2/25/2025,44,2,present wrapped dog toy,5,the fep,132,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-15.006060606060617,1
2/25/2025,44,3,scissors w/bubbles,6,the blicket,312,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-15.006060606060617,0
2/25/2025,44,4,brown clay heart,7,the gorp,123,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-15.006060606060617,0
2/25/2025,44,5,white circular box,1,the blint,231,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-15.006060606060617,1
2/25/2025,44,6,the clay plate,2,the wap,312,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-15.006060606060617,1
2/25/2025,44,7,orange box,3,the zimbo,123,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-15.006060606060617,1
3/4/2025,45,1,white circular box,1,the dax,123,No Function,3,distractor,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,0
3/4/2025,45,2,the clay plate,2,the fep,231,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,0
3/4/2025,45,3,orange box,3,the blicket,312,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,1
3/4/2025,45,4,"green ""s""",4,the gorp,123,Function,3,distractor,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,0
3/4/2025,45,5,present wrapped dog toy,5,the blint,231,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,1
3/4/2025,45,6,scissors w/bubbles,6,the wap,312,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,1
3/4/2025,45,7,brown clay heart,7,the zimbo,123,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,0
3/6/2025,46,1,orange box,3,the dax,123,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-13.006060606060617,1
3/6/2025,46,2,"green ""s""",4,the fep,231,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-13.006060606060617,1
3/6/2025,46,3,present wrapped dog toy,5,the blicket,312,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-13.006060606060617,1
3/6/2025,46,4,scissors w/bubbles,6,the gorp,123,Function,3,distractor,NA,no,no,winter25,NA,NA,NA,NA,NA,-13.006060606060617,0
3/6/2025,46,5,brown clay heart,7,the blint,231,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-13.006060606060617,0
3/6/2025,46,6,white circular box,1,the wap,312,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-13.006060606060617,1
3/6/2025,46,7,the clay plate,2,the zimbo,123,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-13.006060606060617,1
3/6/2025,47,1,the clay plate,2,the dax,123,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-2.0060606060606148,0
3/6/2025,47,2,orange box,3,the fep,231,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-2.0060606060606148,0
3/6/2025,47,3,"green ""s""",4,the blicket,312,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-2.0060606060606148,1
3/6/2025,47,4,present wrapped dog toy,5,the gorp,123,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-2.0060606060606148,1
3/6/2025,47,5,scissors w/bubbles,6,the blint,231,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-2.0060606060606148,0
3/6/2025,47,6,brown clay heart,7,the wap,312,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-2.0060606060606148,0
3/6/2025,47,7,white circular box,1,the zimbo,123,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-2.0060606060606148,1
3/11/2025,48,1,brown clay heart,7,the dax,123,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,1.9939393939393852,1
3/11/2025,48,2,white circular box,1,the fep,231,Function,2,function,NA,no,yes,winter25,NA,NA,NA,NA,NA,1.9939393939393852,0
3/11/2025,48,3,the clay plate,2,the blicket,312,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,1.9939393939393852,1
3/11/2025,48,4,orange box,3,the gorp,123,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,1.9939393939393852,0
3/11/2025,48,5,"green ""s""",4,the blint,231,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,1.9939393939393852,0
3/11/2025,48,6,present wrapped dog toy,5,the wap,312,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,1.9939393939393852,1
3/11/2025,48,7,scissors w/bubbles,6,the zimbo,123,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,1.9939393939393852,0
3/11/2025,49,1,scissors w/bubbles,6,the dax,123,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-5.006060606060615,1
3/11/2025,49,2,brown clay heart,7,the fep,231,No Function,1,shape,yes,no,no,winter25,NA,NA,NA,NA,NA,-5.006060606060615,1
3/11/2025,49,3,white circular box,1,the blicket,312,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-5.006060606060615,1
3/11/2025,49,4,the clay plate,2,the gorp,123,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-5.006060606060615,1
3/11/2025,49,5,orange box,3,the blint,231,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-5.006060606060615,1
3/11/2025,49,6,"green ""s""",4,the wap,312,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-5.006060606060615,1
3/11/2025,49,7,present wrapped dog toy,5,the zimbo,123,Function,3,distractor,NA,no,no,winter25,NA,NA,NA,NA,NA,-5.006060606060615,0
3/11/2025,50,1,brown clay heart,7,the dax,123,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,0
3/11/2025,50,2,white circular box,1,the fep,231,Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,1
3/11/2025,50,3,the clay plate,2,the blicket,312,Function,2,function,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,0
3/11/2025,50,4,orange box,3,the gorp,123,No Function,1,shape,NA,no,yes,winter25,NA,NA,NA,NA,NA,-12.006060606060617,1
3/11/2025,50,5,"green ""s""",4,the blint,231,No Function,3,distractor,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,0
3/11/2025,50,6,present wrapped dog toy,5,the wap,312,No Function,1,shape,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,1
3/11/2025,50,7,scissors w/bubbles,6,the zimbo,123,No Function,2,material,NA,no,no,winter25,NA,NA,NA,NA,NA,-12.006060606060617,0
10/16/2024,1,1,NA,1,the dax,123,No Function,1,shape,NA,no,no,fall24,yes,NA,NA,NA,NA,-3.0060606060606148,1
10/16/2024,1,2,NA,2,the fep,213,No Function,1,shape,NA,no,no,fall24,NA,NA,NA,NA,NA,-3.0060606060606148,1
10/16/2024,1,3,NA,3,the blicket,123,No Function,1,shape,NA,no,no,fall24,NA,NA,NA,NA,NA,-3.0060606060606148,1
10/16/2024,1,4,NA,4,the gorp,123,Function,1,shape,NA,no,no,fall24,NA,NA,NA,NA,NA,-3.0060606060606148,1
10/16/2024,1,5,NA,6,the blint,213,Function,1,shape,NA,no,no,fall24,NA,NA,NA,NA,NA,-3.0060606060606148,1
10/16/2024,1,6,NA,5,the wap,321,Function,2,function,NA,no,no,fall24,NA,NA,NA,NA,NA,-3.0060606060606148,0
10/16/2024,1,7,NA,7,the zimbo,123,Function,2,function,NA,no,no,fall24,NA,NA,NA,NA,NA,-3.0060606060606148,0
10/23/2024,2,1,NA,3,the blicket,123,No Function,3,distractor,NA,no,no,fall24,NA,NA,NA,NA,NA,-5.006060606060615,0
10/23/2024,2,2,NA,4,the gorp,312,No Function,1,shape,NA,no,no,fall24,NA,NA,NA,NA,NA,-5.006060606060615,1
